Date,Website,Visitors,Page_Views,Bounce_Rate,Avg_Session_Duration,Conversions,Conversion_Rate,Traffic_Source
2024-01-01,example.com,1200,3500,0.45,00:03:20,60,0.05,Organic
2024-01-02,example.com,1350,4000,0.42,00:03:45,75,0.056,Referral
2024-01-03,example.com,1100,3200,0.48,00:02:55,50,0.045,Direct
2024-01-04,example.com,1400,4100,0.41,00:04:10,80,0.057,Organic
2024-01-05,example.com,1250,3600,0.44,00:03:30,65,0.052,Social
2024-01-06,example.com,1300,3700,0.43,00:03:40,70,0.054,Referral
2024-01-07,example.com,1150,3300,0.47,00:03:00,55,0.048,Direct
2024-01-08,example.com,1450,4200,0.40,00:04:20,85,0.059,Organic
2024-01-09,example.com,1200,3500,0.45,00:03:20,60,0.05,Social
2024-01-10,example.com,1380,4050,0.43,00:03:55,78,0.056,Referral
